_id,productGeneral__cusip,productProtection__downsideType,productId,productGeneral__isin,id,
"ObjectId(""606e253a80562f1191253c29"")",48132TPC4,BARRIER,"UUID(""43fbff73-7ccd-4a0e-bf98-6dcaabcf58c9"")",,48132TPC4,
"ObjectId(""606e253180562f1191253c19"")",48132TB62,BARRIER,"UUID(""e4e2f213-a119-482f-ac62-542fd85d0d81"")",,48132TB62,
"ObjectId(""606dd24d80562f119125292e"")",61766F516,BARRIER,"UUID(""ba7d7269-ae40-47e7-8a96-a8363211a135"")",,61766F516,
"ObjectId(""606dd24a80562f1191252928"")",61764M810,BARRIER,"UUID(""7f310ca9-4757-4f2b-9e5a-4d8f832cf923"")",,61764M810,
"ObjectId(""606dd24a80562f1191252926"")",61768T399,BARRIER,"UUID(""a947daac-85a8-4c05-9d92-3491e408a236"")",,61768T399,
"ObjectId(""606dd24980562f1191252924"")",48132HY55,BUFFER,"UUID(""b964e671-7017-41fa-8393-1763bd310998"")",,48132HY55,
"ObjectId(""606dd24780562f1191252922"")",61768R245,BARRIER,"UUID(""17788560-5a2b-4831-aab1-8142427f7be5"")",,61768R245,
"ObjectId(""606dd24180562f1191252918"")",40435C864,BARRIER,"UUID(""90cf9e60-fe67-4181-b23b-ac6e74a888ed"")",,40435C864,
"ObjectId(""606dd23f80562f1191252914"")",40056EFU7,BARRIER,"UUID(""f97fd50e-0bf3-4127-8bdc-5779e596cc25"")",,40056EFU7,
"ObjectId(""606dd23e80562f1191252912"")",61768DQJ7,BARRIER,"UUID(""56664cb8-b902-4c2f-9c8f-fca8b76e6dca"")",,61768DQJ7,
"ObjectId(""606dd23a80562f119125290a"")",48129H2U0,BARRIER,"UUID(""ae88777b-5384-493a-940d-e70d90ba7d80"")",,48129H2U0,
"ObjectId(""606dd1f380562f11912528d2"")",61769Q196,BARRIER,"UUID(""2e06bf4c-eca7-4168-80dd-093572d498b5"")",,61769Q196,
"ObjectId(""606dd16880562f1191252810"")",36259J175,BARRIER,"UUID(""c1b4a241-6926-4b51-9017-0a1ceb6153c2"")",,36259J175,
"ObjectId(""606dd13880562f11912527c6"")",40055QX80,BARRIER,"UUID(""77f695e7-9058-497e-b3a6-1b4f1821d234"")",,40055QX80,
"ObjectId(""606dd13180562f11912527ba"")",40056E6F0,BARRIER,"UUID(""9f291b62-5208-464b-afa1-e906bf757ea0"")",,40056E6F0,
"ObjectId(""606dd12f80562f11912527b6"")",48132G526,BARRIER,"UUID(""6cd4d9e1-8bd0-4277-a03a-4e06ad3b32f0"")",,48132G526,
"ObjectId(""606dd12c80562f11912527b2"")",40054KDB9,BARRIER,"UUID(""96ba8183-0f47-4d9c-b75a-453549abe5b7"")",,40054KDB9,
